datetime,sw_radiation,temp_2m,cloud_cover
2020-05-18T19:00,0.0,32.9,100
2020-05-18T20:00,0.0,32.6,100
2020-05-18T21:00,0.0,31.9,100
2020-05-18T22:00,0.0,31.7,100
2020-05-18T23:00,0.0,31.0,100
2020-05-19T00:00,0.0,30.4,100
2020-05-19T01:00,0.0,29.9,100
2020-05-19T02:00,0.0,29.5,100
2020-05-19T03:00,0.0,29.1,100
2020-05-19T04:00,0.0,28.7,100
2020-05-19T05:00,0.0,28.0,100
2020-05-19T06:00,0.018,28.2,100
2020-05-19T07:00,0.148,29.3,100
2020-05-19T08:00,0.297,31.0,100
2020-05-19T09:00,0.512,33.2,100
2020-05-19T10:00,0.721,35.4,100
2020-05-19T11:00,0.808,37.0,100
2020-05-19T12:00,0.813,38.3,100
2020-05-19T13:00,0.751,39.2,100
2020-05-19T14:00,0.485,38.7,100
2020-05-19T15:00,0.386,39.4,100
2020-05-19T16:00,0.266,39.0,100
2020-05-19T17:00,0.128,38.1,100
2020-05-19T18:00,0.053,36.7,100
2020-05-19T19:00,0.0,35.5,100
2020-05-19T20:00,0.0,33.5,100
2020-05-19T21:00,0.0,32.0,100
2020-05-19T22:00,0.0,31.3,98
2020-05-19T23:00,0.0,30.4,100
2020-05-20T00:00,0.0,29.9,100
2020-05-20T01:00,0.0,29.4,100
2020-05-20T02:00,0.0,28.7,100
2020-05-20T03:00,0.0,28.0,100
2020-05-20T04:00,0.0,27.4,99
2020-05-20T05:00,0.0,27.4,95
2020-05-20T06:00,0.02,27.6,100
2020-05-20T07:00,0.158,28.5,100
2020-05-20T08:00,0.359,30.1,100
2020-05-20T09:00,0.555,32.2,100
2020-05-20T10:00,0.714,34.5,99
2020-05-20T11:00,0.854,36.5,100
2020-05-20T12:00,0.915,38.2,100
2020-05-20T13:00,0.763,39.0,100
2020-05-20T14:00,0.601,39.3,99
2020-05-20T15:00,0.521,39.5,99
2020-05-20T16:00,0.338,39.4,98
2020-05-20T17:00,0.238,39.1,98
2020-05-20T18:00,0.063,36.8,99
2020-05-20T19:00,0.0,35.5,95
2020-05-20T20:00,0.0,34.4,93
2020-05-20T21:00,0.0,34.2,95
2020-05-20T22:00,0.0,33.1,98
2020-05-20T23:00,0.0,31.8,97
2020-05-21T00:00,0.0,30.5,96
2020-05-21T01:00,0.0,29.6,99
2020-05-21T02:00,0.0,28.9,95
2020-05-21T03:00,0.0,28.4,99
2020-05-21T04:00,0.0,27.9,97
2020-05-21T05:00,0.0,27.7,97
2020-05-21T06:00,0.022,27.8,72
2020-05-21T07:00,0.171,28.7,86
2020-05-21T08:00,0.383,30.4,86
2020-05-21T09:00,0.601,32.7,78
2020-05-21T10:00,0.783,35.4,83
2020-05-21T11:00,0.905,37.4,88
2020-05-21T12:00,0.949,38.9,85
2020-05-21T13:00,0.771,39.7,69
2020-05-21T14:00,0.706,40.4,41
2020-05-21T15:00,0.513,40.3,57
2020-05-21T16:00,0.337,40.1,55
2020-05-21T17:00,0.174,40.1,68
2020-05-21T18:00,0.071,39.0,10
2020-05-21T19:00,0.0,37.5,24
2020-05-21T20:00,0.0,36.3,10
2020-05-21T21:00,0.0,35.4,40
2020-05-21T22:00,0.0,34.1,38
2020-05-21T23:00,0.0,33.2,8
2020-05-22T00:00,0.0,32.2,3
2020-05-22T01:00,0.0,30.9,2
2020-05-22T02:00,0.0,29.9,1
2020-05-22T03:00,0.0,29.0,1
2020-05-22T04:00,0.0,28.4,1
2020-05-22T05:00,0.0,28.0,31
2020-05-22T06:00,0.022,27.9,50
2020-05-22T07:00,0.176,28.7,25
2020-05-22T08:00,0.394,30.5,34
2020-05-22T09:00,0.607,32.8,0
2020-05-22T10:00,0.783,35.1,0
2020-05-22T11:00,0.905,37.2,0
2020-05-22T12:00,0.96,39.0,2
2020-05-22T13:00,0.845,39.9,40
2020-05-22T14:00,0.661,40.2,29
2020-05-22T15:00,0.556,40.2,43
2020-05-22T16:00,0.403,40.4,50
2020-05-22T17:00,0.238,40.4,82
2020-05-22T18:00,0.074,39.4,8
2020-05-22T19:00,0.0,38.1,8
2020-05-22T20:00,0.0,36.8,7
2020-05-22T21:00,0.0,35.4,94
2020-05-22T22:00,0.0,33.9,94
2020-05-22T23:00,0.0,33.9,52
2020-05-23T00:00,0.0,32.6,76
2020-05-23T01:00,0.0,31.1,59
2020-05-23T02:00,0.0,30.0,22
2020-05-23T03:00,0.0,29.5,62
2020-05-23T04:00,0.0,28.8,37
2020-05-23T05:00,0.0,28.8,13
2020-05-23T06:00,0.022,29.2,22
2020-05-23T07:00,0.176,30.5,0
2020-05-23T08:00,0.395,32.5,7
2020-05-23T09:00,0.609,34.7,9
2020-05-23T10:00,0.784,36.8,43
2020-05-23T11:00,0.903,38.7,32
2020-05-23T12:00,0.846,39.7,40
2020-05-23T13:00,0.761,40.2,37
2020-05-23T14:00,0.713,40.6,37
2020-05-23T15:00,0.595,40.7,27
2020-05-23T16:00,0.382,40.8,25
2020-05-23T17:00,0.202,40.5,13
2020-05-23T18:00,0.062,39.8,26
2020-05-23T19:00,0.0,39.1,22
2020-05-23T20:00,0.0,38.2,23
2020-05-23T21:00,0.0,36.6,14
2020-05-23T22:00,0.0,35.6,9
2020-05-23T23:00,0.0,33.2,10
2020-05-24T00:00,0.0,32.1,65
2020-05-24T01:00,0.0,31.7,100
2020-05-24T02:00,0.0,31.4,98
2020-05-24T03:00,0.0,31.3,98
2020-05-24T04:00,0.0,30.5,72
2020-05-24T05:00,0.0,30.6,24
2020-05-24T06:00,0.022,30.5,2
2020-05-24T07:00,0.173,30.9,6
2020-05-24T08:00,0.387,32.3,6
2020-05-24T09:00,0.6,34.3,11
2020-05-24T10:00,0.776,36.4,0
2020-05-24T11:00,0.893,38.2,9
2020-05-24T12:00,0.887,39.3,14
2020-05-24T13:00,0.84,40.0,39
2020-05-24T14:00,0.653,40.0,56
2020-05-24T15:00,0.413,39.9,49
2020-05-24T16:00,0.34,39.8,88
2020-05-24T17:00,0.126,39.7,86
2020-05-24T18:00,0.061,39.0,45
2020-05-24T19:00,0.0,38.3,32
2020-05-24T20:00,0.0,38.0,23
2020-05-24T21:00,0.0,36.9,23
2020-05-24T22:00,0.0,33.3,19
2020-05-24T23:00,0.0,31.9,10
2020-05-25T00:00,0.0,31.2,2
2020-05-25T01:00,0.0,30.5,2
2020-05-25T02:00,0.0,30.1,1
2020-05-25T03:00,0.0,29.9,1
2020-05-25T04:00,0.0,29.8,2
2020-05-25T05:00,0.0,29.3,75
2020-05-25T06:00,0.022,30.0,42
2020-05-25T07:00,0.168,31.1,39
2020-05-25T08:00,0.383,32.5,51
2020-05-25T09:00,0.599,34.4,30
2020-05-25T10:00,0.772,36.3,48
2020-05-25T11:00,0.873,37.8,5
2020-05-25T12:00,0.909,39.0,7
2020-05-25T13:00,0.874,39.8,38
2020-05-25T14:00,0.725,39.9,44
2020-05-25T15:00,0.493,39.7,55
2020-05-25T16:00,0.302,39.8,63
2020-05-25T17:00,0.174,38.3,47
2020-05-25T18:00,0.052,37.8,38
2020-05-25T19:00,0.0,37.4,32
2020-05-25T20:00,0.0,36.7,38
