,Normal eq.,Batch GD,SGD
theta0 intercept,6883.416639809077,6883.416639809074,6887.67445178007
theta1 irradiation,8258.296494245255,8258.296387949102,7652.297928220948
theta2 module_temp,-25.544992276580615,-25.54484976029318,819.6967968462063
theta3 ambient_temp,-15.929397001742586,-15.929441346188723,-224.30547737135936
theta4 sin hour,-29.832570199988822,-29.832571570156418,-45.78370202898185
theta5 cos hour,-408.7725369345651,-408.7725362731641,-408.0960334332796
Max |theta_GD - theta_normal|,,0.0001425162874362229,845.2417891227869
